"paraula","url","origen","autor","nota"
"bacallà","https://www.youtube.com/embed/pe2lLSUdyug","youtube","generalitat",""
"bacteri","https://www.youtube.com/embed/gctRdm3rcO8","youtube","generalitat",""
"barbeta","https://www.youtube.com/embed/fWNgF0Mm7js","youtube","generalitat",""
"bàscula","https://www.youtube.com/embed/WRxSsMNCJEg","youtube","generalitat",""
"beguda","https://www.youtube.com/embed/xviFjSoYnLU","youtube","generalitat",""
"beix","https://www.youtube.com/embed/Q-1wNSIhpug","youtube","generalitat",""
"bena (1)","https://www.youtube.com/embed/aYvui-_8lr8","youtube","generalitat",""
"bena (2)","https://www.youtube.com/embed/nCADUJdrIIA","youtube","generalitat",""
"berenar","https://www.youtube.com/embed/GsTQ7v14Bfc","youtube","generalitat",""
"bicicleta","https://www.youtube.com/embed/cnscX99mYqw","youtube","generalitat",""
"blanc","https://www.youtube.com/embed/I4oTqSzWZvQ","youtube","generalitat",""
"blat de moro","https://www.youtube.com/embed/SHDhXZ2me8o","youtube","generalitat",""
"blau","https://www.youtube.com/embed/3jJ850uMP1U","youtube","generalitat",""
"bleda","https://www.youtube.com/embed/Vr0nGecIeYI","youtube","generalitat",""
"bolet","https://www.youtube.com/embed/ZWs6K6aMCJw","youtube","generalitat",""
"bolquer","https://www.youtube.com/embed/likpzlzhGKs","youtube","generalitat",""
"bombó","https://www.youtube.com/embed/mrqleZBclo8","youtube","generalitat",""
"bona nit","https://www.youtube.com/embed/BeJYKJzey5I","youtube","generalitat",""
"bona tarda","https://www.youtube.com/embed/jMqbanYJCMo","youtube","generalitat",""
"bon dia","https://www.youtube.com/embed/vVcEYElk72I","youtube","generalitat",""
"bony","https://www.youtube.com/embed/zYCuFvhwcYk","youtube","generalitat",""
"botifarra","https://www.youtube.com/embed/j0uiEU3W3qM","youtube","generalitat",""
"braç trencat","https://www.youtube.com/embed/lQPSLgAh0Uo","youtube","generalitat",""
"broma","https://www.youtube.com/embed/qZZbKBd8v1M","youtube","generalitat",""
"bromista","https://www.youtube.com/embed/Ly7GkMUVx3A","youtube","generalitat",""
"c","https://www.youtube.com/embed/JZQRrpjci7g","youtube","generalitat",""
"ç","https://www.youtube.com/embed/F3zTtWo7RIA","youtube","generalitat",""
"cafè","https://www.youtube.com/embed/ZIN30Cc7jCc","youtube","generalitat",""
"calamar","https://www.youtube.com/embed/QJeBUj9uNR4","youtube","generalitat",""
"calçot","https://www.youtube.com/embed/TYZO_ONVVWw","youtube","generalitat",""
"calendari (1)","https://www.youtube.com/embed/gQZBAAejnX8","youtube","generalitat",""
"calendari (2)","https://www.youtube.com/embed/cHMwP8H23GE","youtube","generalitat",""
"calma","https://www.youtube.com/embed/_hVOEIJ3afg","youtube","generalitat",""
"camió","https://www.youtube.com/embed/4_V-C4kPlLs","youtube","generalitat",""
"caneló","https://www.youtube.com/embed/v3OO-HX4smU","youtube","generalitat",""
"cansament (1)","https://www.youtube.com/embed/tPpsrv85M5Q","youtube","generalitat",""
"cansament (2)","https://www.youtube.com/embed/SgyCu6tKhsA","youtube","generalitat",""
"caràcter","https://www.youtube.com/embed/qGdxzIMy_us","youtube","generalitat",""
"carn","https://www.youtube.com/embed/jwQaUk-n-UI","youtube","generalitat",""
"carretera (1)","https://www.youtube.com/embed/aN10Ks0aqG0","youtube","generalitat",""
"carretera (2)","https://www.youtube.com/embed/PLZuTSFZh-A","youtube","generalitat",""
"carxofa","https://www.youtube.com/embed/QzsLf_GecNw","youtube","generalitat",""
"catorze","https://www.youtube.com/embed/G3LCikifhug","youtube","generalitat",""
"cava (1)","https://www.youtube.com/embed/DEHHNNQhbk8","youtube","generalitat",""
"cava (2)","https://www.youtube.com/embed/W3U6xj7YtDo","youtube","generalitat",""
"ceba","https://www.youtube.com/embed/-mGmcqw5otU","youtube","generalitat",""
"cent","https://www.youtube.com/embed/tE6SwgBXz88","youtube","generalitat",""
"centre d'atenció primària","https://www.youtube.com/embed/Wnw-qh7PQt4","youtube","generalitat",""
"centre d'intermediació imserso","https://www.youtube.com/embed/gqje42EKzXw","youtube","generalitat",""
"cercle","https://www.youtube.com/embed/BXPMcPLb_mM","youtube","generalitat",""
"cereal","https://www.youtube.com/embed/_ycBs4WdW5w","youtube","generalitat",""
"cervesa","https://www.youtube.com/embed/wy58Mwumuvo","youtube","generalitat",""
"ciència","https://www.youtube.com/embed/AO3Q1LHhxuI","youtube","generalitat",""
"cigró","https://www.youtube.com/embed/uYHDnMWfr8Y","youtube","generalitat",""
"cinc","https://www.youtube.com/embed/_uauzA6M5LQ","youtube","generalitat",""
"cinc-cents","https://www.youtube.com/embed/Ab7JwyRBQXg","youtube","generalitat",""
"cinema","https://www.youtube.com/embed/H3uIGPLQ1l4","youtube","generalitat",""
"cinquanta","https://www.youtube.com/embed/6oRDvUVyc9E","youtube","generalitat",""
"cirera","https://www.youtube.com/embed/QrREKA8a0y8","youtube","generalitat",""
"clarejar","https://www.youtube.com/embed/pG31XT4KoJE","youtube","generalitat",""
"cloïssa","https://www.youtube.com/embed/MaIVe1JtVmg","youtube","generalitat",""
"coca (1)","https://www.youtube.com/embed/hsZoosvJXhg","youtube","generalitat",""
"coca (2)","https://www.youtube.com/embed/gX1BuLmJtvA","youtube","generalitat",""
"cocacola","https://www.youtube.com/embed/dNmHUSrFL2Q","youtube","generalitat",""
"coca-cola","https://www.youtube.com/embed/dNmHUSrFL2Q","youtube","generalitat",""
"coïssor","https://www.youtube.com/embed/_S_6UnZon08","youtube","generalitat",""
"coit","https://www.youtube.com/embed/YHiQLoxeikU","youtube","generalitat",""
"col","https://www.youtube.com/embed/xzn15fLXRzE","youtube","generalitat",""
"cola","https://www.youtube.com/embed/dNmHUSrFL2Q","youtube","generalitat","Coca-Cola"
"coliflor","https://www.youtube.com/embed/J1FlRuGHUSw","youtube","generalitat",""
"color","https://www.youtube.com/embed/trYG-uBKs4k","youtube","generalitat",""
"comandament a distància","https://www.youtube.com/embed/CsqpaRrC3BQ","youtube","generalitat",""
"com estàs?","https://www.youtube.com/embed/r-S2AMwxljM","youtube","generalitat",""
"compresa","https://www.youtube.com/embed/MVvYk5yOlwM","youtube","generalitat",""
"condó","https://www.youtube.com/embed/k00gTxzyaNs","youtube","generalitat",""
"cop","https://www.youtube.com/embed/t67SArkGPao","youtube","generalitat",""
"cor","https://www.youtube.com/embed/OYHWGPlfH1w","youtube","generalitat",""
"correu electrònic","https://www.youtube.com/embed/VADkMIzZMCQ","youtube","generalitat",""
"costella","https://www.youtube.com/embed/HNbGnXlAiHw","youtube","generalitat",""
"cotó fluix","https://www.youtube.com/embed/fWeLfPJTAuU","youtube","generalitat",""
